Dialogue Act,Emitter,Text
Refusal,Tomm,"afraid not, sorry"
Refusal,Dave,None here either :(
Offer,Dave,wheat for wood anyone?
Offer,Tomm,or a sheep
Refusal,Dave,sorry :/
Other,Tomm,how do those resource tiles in the water work
Other,Dave,If you have a settlement on them you can get better trades
Other,Tomm,I thought that was the number ones
Other,Dave,the 3:1 means you can trade 3 of anything to 1 of anything
Other,Tomm,what about the other ones
Other,Dave,The resource ones -I think- mean you can trade 2 of any of that item to 1 of anything else
Other,Tomm,"ah, that's pretty good"
Other,rennoc1,But I might have that the wrong way around
Offer,Dave,anyone have any wood?
Refusal,Tomm,"nope, sorry"
Refusal,Tomm,I think we are all looking for it! I think we are all looking for it!
Other,Dave,Oh.
Offer,Dave,can anyone trade clay for ore
Offer,Tomm,"as in, I give you the clay"
Refusal,rennoc1,"No ore, sorry."
Refusal,Dave,me neither me neither
Other,Dave,good roll that
Other,Tomm,thanks
Other,Dave,"Sorry, boss walked in"
Other,Tomm,np
Other,Tomm,"Yes, that was a good roll for you."
Other,Dave,Ah. Sheep.
Other,Tomm,You basically control the sheep
Other,Tomm,That's not as handy or as sinister as it sounds
Other,Dave,Unfortunately.
Other,Tomm,Still cooler than being a wheat baron
Other,Dave,"I don't know, you've got 'baron' right there in the title"
Other,Tomm,That is actually the only good thing about this job
Other,Dave,Thank god. I was going to scream if I rolled a 7
Other,Tomm,haha
Other,Dave,Woo! Clay! Hard-earned clay!
Offer,Dave,anyone got clay or ore they can swap for wheat?
Offer,Tomm,"clay or wood, rather"
Accept,Dave,Only got that one
Offer,Dave,"could you, by any chance, use some fine high quality wheat"
Offer,Tomm,guaranteed to be 100% more edible than clay
"Accept, Other",Tomm,"If I get more clay, perhaps... I can eat the sheep for now."
Other,rennoc1,Cook them in my lovely new tandoor oven I made out of the clay!
"Counteroffer, Accept",Dave,maybe but I have almost nothing but wheat to trade back
Offer,Dave,clay or wood rennoc?
Offer,rennoc1,either one
Refusal,rennoc1,"unfortunately, neither one"
Counteroffer,Tomm,"tomm, could I give you 3 sheep for a clay and an ore?"
Refusal,Tomm,"I don't have ore, I'm afraid!"
Other,Tomm,Plus... I'm basically rolling in sheep
Other,rennoc1,"Really need to move that robber blocking your clay, eh? :/"
Other,Tomm,"but if I gave you some sheep, you could trade them back for the resources you'd need"
Refusal,rennoc1,"Well, as I say, don't have any ore at all"
Other,Tomm,"ok, cool."
Other,Tomm,I think Dave is the only one who does
Other,rennoc1,*whispers*horder!
Counteroffer,Dave,"do you have any ores, dave?"
Refusal,Dave,lo
Refusal,Dave,"I don't, no"
Offer,Dave,I have wheat
Other,Dave,wheat
Other,Dave,I stole your wheat
Other,Tomm,"aand, I didn't mean to end that"
Other,Dave,"Wait, who'd you steam from?"
Other,Dave,rennoc
Other,rennoc1,wwait
Other,Dave,so i see. i am now utterly wheatless
Other,Tomm,maybe you?
Other,Tomm,"Oh, that's harsh."
Other,Dave,one sec
Other,Dave,"nah, it was rennoc"
Other,Dave,"hey, I know where you can get some good wheat"
Offer,Tomm,"but seriously, want to trade for some wheat?"
Other,Dave,where goes the robber?
Other,Tomm,hasn't been moved yet
Other,Tomm,"bah, phone, brb."
Other,Tomm,Hey!
Other,Dave,:p
Other,Dave,heh
Other,Dave,...
Other,Dave,noooo
Other,rennoc1,I just bought the wrong resource
Offer,Dave,so you have ore to spare then...?
Accept,Dave,I do
Counteroffer,rennoc1,ore for wood?
"Counteroffer, Refusal",Dave,if only... I have clay? I have clay?
Other,Dave,that is more useful
Accept,Tomm,"yeah, go ahead yeah, go ahead"
Other,Tomm,"Sorry, back"
Other,Dave,what did I miss?
Other,Dave,not much
Other,Dave,ADDTIME
Other,Tomm,"we play this to the end, not until the time runs out, yeah?"
Other,Tomm,"yeah, we'll see"
Other,rennoc1,"Right, anyway... so I have bugger all... annnnd... yes."
Offer,Tomm,"so dave, what did you have to trade for clay?"
Other,Tomm,I covert rennoc's clay.
Counteroffer,Dave,I could offer things?
Counteroffer,Tomm,wood?
Counteroffer,Dave,Ore?
Counteroffer,Dave,clay rennoc
Counteroffer,rennoc1,"I have ore to trade (or wheat, always wheat) I have ore to trade (or wheat, always wheat)"
Offer,Tomm,"tomm, do you have ore?"
Accept,rennoc1,"Yes, yes I do"
Accept,Tomm,ok
Other,Tomm,8!
Other,Tomm,8!
Other,Dave,Not 8.
Offer,rennoc1,any wood around?
Refusal,Tomm,nope
Other,Tomm,Damn robber. He stole my sheep
Other,Dave,Woo! Poor!
Offer,Tomm,"has anyone got a sheep, I can trade wheat or clay"
Refusal,Dave,Surprisingly I am bereft of sheep.
Other,Dave,:(
Offer,rennoc1,rennoc?
Refusal,rennoc1,"sorry, no sheep"
Other,Tomm,brb
Offer,Dave,Fancy some tasty ore?
Refusal,Tomm,I do not ^_^
Other,Tomm,But... you can... you know... smelt it?
Offer,Dave,How about clay?
"Refusal, Other",Tomm,"nope, sorry, I'm good for clay"
Other,Dave,For... you know... sculpture?
Other,Tomm,and pots
Other,Dave,Bah. Philistine :P
Other,Dave,"hey, the people of Davetopia make very nice pots"
Other,Dave,"ooh, wood"
Offer,rennoc1,trade?
Other,Tomm,ok im back
Other,Dave,"Oh, so now Davetopia makes with the niceties?"
Other,Tomm,we are a fickle people
Other,Dave,Where was all this decorum when we talked before?
Other,Tomm,well you didn't have wood then
Other,Tomm,Snigger.
"Counteroffer, Other",Dave,"Tommville is amused by such base humour. Anyway, what will you offer for wood?"
Offer,Dave,wheat?:D
Offer,rennoc1,or clay
Counteroffer,Tomm,anone have sheep
Refusal,Tomm,"Pfft, your pots are of no use."
Refusal,Dave,Sadly still no sheep :(
Offer,Tomm,wheat then?
"Refusal, Other",rennoc1,"Talk to rennoc first, it's his go :p"
Accept,Dave,"yeah sure, could do with some wheat yeah sure, could do with some wheat"
Offer,Tomm,got wood?
Other,rennoc1,Still snigger.
Refusal,Dave,nope
Other,Dave,heh
Other,Tomm,"that's all I'm interested in, sorry :("
Counteroffer,Dave,Dave - how many wheat would you give for 1 wood?
Offer,Tomm,I will give you one whole wheat
Counteroffer,rennoc1,I must demand 2.
Counteroffer,Tomm,i would give you 2 clay?
Other,Dave,For the good of my people you understand
Refusal,Dave,"I must refuse, on principle"
Other,Dave,"well, it depends"
Other,Tomm,we'll see
Other,Tomm,"Rennoc, full of clay I'm afraid."
Counteroffer,Tomm,"although I could offer you ore, Rennoc?"
Counteroffer,Dave,depending on what you have
Other,rennoc1,also if anyone rolls a seven I will never forgive them
Counteroffer,Tomm,well... I've got some really good quality clay.
Other,Tomm,"Ah... we'll see when we get around to me, can bid for the wood."
Other,Dave,You crafty gender non-specific pronoun!
Offer,Tomm,I can give you one wheat and ore for wood
Refusal,Tomm,Don't want ore.
Counteroffer,rennoc1,Rennoc what can you offer me for wood?
Counteroffer,Dave,how about 4 clay for 1 wood and 1 ore?
Other,Tomm,don't do it! it's a trap
Other,rennoc1,"Wow, you are clay tastic, eh?"
Other,Dave,"yep, I speak to you from a bath of clay!"
Other,Tomm,(make sure it's not the bath clay he gives you) (make sure it's not the bath clay he gives you)
Other,Tomm,eww. Fair point. Fresh clay if you please
Counteroffer,rennoc1,Dave... wood for a wheat?
Other,Dave,my bath has been demoted to a sink
Accept,Dave,sure
Other,Tomm,wrong player
Other,Dave,bah
Other,Tomm,thanks
Other,Tomm,No... thank you all!
Other,Dave,Tommville is now Tommopolis!
Other,Tomm,:O
Other,Dave,"Wow, nice roll Rennoc :D"
Other,Dave,"ok, rennoc, listen to me"
Other,Dave,don't give tomm wheat
Other,Dave,sorry tomm
Other,Tomm,but he can win the game if he gets wheat
Other,rennoc1,Aww. :(
Offer,Tomm,"can you give wheat to me, dave?"
Other,Dave,"Sadly, the man does have a point. Sadly, the man does have a point."
Other,rennoc1,"uh, I might get some on my turn, so maybe"
Counteroffer,Dave,for clay?
Refusal,rennoc1,"I'm good for clay, thanks"
Offer,Tomm,any one have sheep?
Other,Dave,"That's a fair point, I've not had sheep for ages. I've not had sheep for ages."
Other,Dave,3 sheep
Other,Tomm,really
Offer,Tomm,Rennoc... I have sheep now?
Offer,Dave,Got any wheat? :P
Refusal,Dave,nooooooo
Other,rennoc1,"don't give him wheat, also, if you get the robber put it on that wheat tile in the middle"
"Counteroffer, Refusal",Tomm,nope sorry. I could spare some clay though
Counteroffer,rennoc1,1 clay for 1 sheep?
Accept,Tomm,thanks
Other,Dave,muhaha!
Other,rennoc1,uh no
Other,Dave,we're doomed
Other,Tomm,that got you less points than I thought
Other,Dave,"Settlement is worth 2, city 3"
Offer,rennoc1,anyone got wood or sheep to trade?
"Counteroffer, Other",Dave,"well, I am going to have to go in 5-10 mins, so before I do does anyone want any of my resources"
Other,Tomm,you have to go?
Other,rennoc1,I'm confused... I think I should have won?
Other,Dave,"unfortunately, yes."
Other,rennoc1,I'll add time shall I? We can always end it when we want anyway
Other,rennoc1,if we dont add time i could play till then though!
Other,Dave,or that.
Offer,rennoc1,do you have any wood or sheep rennoc?
Accept,Dave,both
Offer,rennoc1,1 ore and 1 wheat for 1 wood and 1 sheep? 1 ore and 1 wheat for 1 wood and 1 sheep?
Counteroffer,Dave,how about this.
Other,Dave,addtime
Refusal,rennoc1,don't have 2 wheat
Other,Dave,oh
Other,Tomm,would have offered it otherwise
Other,Dave,"bugger, I can't add up, that's why."
Other,Tomm,heh
Other,Dave,?
Other,rennoc1,"rennoc, you there?"
"Counteroffer, Other",Dave,"I really need to head off, what do you need guys? i have 5 clay, 1 ore, 2 sheep, 1 wood."
Offer,rennoc1,"sheep, wood"
Other,rennoc1,sorry for cutting things short on my part
Counteroffer,Tomm,how about you tomm?
Counteroffer,rennoc1,Feel free to fire me the clay
Counteroffer,Dave,ok it turns out you have to give me something in a trade
Counteroffer,rennoc1,a clay?
Counteroffer,Tomm,have anything you can spare for the trade tomm?
Refusal,rennoc1,"not realy, just ditch it"
Other,Tomm,"ok , thanks guys and good luck!"
Other,Dave,"cheers, was good playing!"
Other,Dave,so what happens if he quits?
Other,Markus,will the game remove him?
Other,Tomm,You two just continue
Other,Tomm,press done on his go :P
Other,Tomm,lets finish this up!
Other,Dave,SHEEP!
Other,Dave,null needs to discard?
Other,Tomm,I'm guessing that's rennoc
Other,Dave,Oh... I can't move the robber?
Other,Tomm,you've moved it already?
Other,Dave,"No, that was for a soldier card"
Other,Dave,oh
Other,Dave,"it says null needs to discard, I think it's a bug"
Other,Markus,it's still counting rennoc as having over 7 resources
Other,Tomm,Does it work now?
Other,Dave,"yes, fixed"
Other,Dave,wwwhat
Other,Dave,"oh, right"
Other,Tomm,^_^
Other,Dave,Woo! Settlement!
Other,Dave,"ha, congrats"
Other,Tomm,good game
Other,Tomm,"Hehe, it was fun, thanks."
Other,Dave,I think I got very lucky getting to the sheep port
Other,Tomm,"I spent far too long at the start building pointless roads, I wasn't 100% sure where I could build s"
Other,Dave,24 sheep :o
Other,Tomm,haha
Other,Tomm,"Yeah, that is a problem... Rennoc had lost about half way through to be honest"
Other,Tomm,I sort of cut him out >.>
Other,Dave,and ore is more important in the later game too
Other,Dave,"Yeah, I noticed, he couldn't really expand"
Other,Tomm,"I had just managed to take a wheat port, which would have been very helpful"
Other,Tomm,Yes!
Other,Tomm,Ports are great if you get them
Other,Markus,"Anyway, was a pleasure, should do it again sometime, outside of the experiment!"
Other,Dave,Thanks for participating.
Other,Markus,"Yeah, it's a good game"
Other,Markus,Glad you enjoyed it.
Other,Dave,Please take a minute to fill in the questionnaire.
Other,Tomm,"No problem, I'll send in the questionare in 10 minutes"
Other,Markus,"I'll get you your questionaire back tomorrow if that is okay, Markus, have to go myself"
Other,Markus,"Also, for your £5 you'll have to come by my office."
Other,Dave,Unfortunately.
Other,Markus,"sure, where is your office? where is your office?"
Other,Markus,Informatics Forum 3.24.
Other,Tomm,I'll be in and out tomorrow but should be there most of Wednesday.
Other,Dave,"If you were to email me the form, could I send a surrogate with my signed form?"
Other,Tomm,"I have most of wednesday off, so I'll come in then, any particular time you'd prefer? any particular time you'd prefer?"
Other,Markus,Have a friend who works there
Other,Markus,"Hm, I guess you could scan it in an send it back."
Other,Markus,Or send it by post.
Other,Markus,Sorry it's the necessary paper trail ...
Other,Tomm,I'll send you the form.
Other,Markus,"It's okay, I understand"
Other,Markus,I've no preference for Wednesday
Other,Tomm,Should be there most of the day.
Other,Markus,"Cheers if you email me the form now, I'll give it to my friend tonight, I'm heading to see him."
Other,Dave,Already working on it.
Other,Tomm,"Right, I'll go fill in the form, about 2 on wednesday then? about 2 on wednesday then?"
Other,Markus,"Perfect, thanks Markus. I'll email you my response tomorrow"
Other,Markus,"OK, that's good for me."
Other,Dave,Wed @ 2 or so; good.
Other,Markus,"ok, well I'm going to head off now"
Other,Tomm,OK; thanks again for participating!
Other,william,Thanks!
Other,Thomas,hi markus.  how many people are we waiting for?
Other,william,think it's 1 more
Other,Markus,ok
Other,Markus,"yes, one more"
Other,Thomas,seems there's a hickup logging into the game ...
Other,Thomas,"that's ok, I not on a schedule"
Other,Markus,*I'm
Other,william,I guess you two had no problems joining the game?
Other,Markus,nope
Other,Markus,Ah great!
Other,Markus,"So, one of you can now start the game."
Other,william,Have fun!
Other,william,the arrow is pointing at me  but i cant press roll
Other,Thomas,oh sorry
Other,Thomas,u can place a settlement
Other,Thomas,first
Other,william,u roll later
Offer,Thomas,i am offering a wheat for wood or clay
"Refusal, Other",Cat,no  thanks
Other,william,how do we do an exchange?
Other,william,first we chat about it
Other,Thomas,when we actually want to exchange...
Other,william,register a trade'
Other,Cat,"we click ""register a trade"
Other,william,"okay,  let's do an exchange"
Other,Cat,what kind?
Offer,Thomas,wood for wheat
Other,william,which do you want?
Other,william,yup i saw it
Other,Thomas,"already traded, tom"
Other,Cat,ok
Offer,Cat,thanks
Other,william,what else can I do during the turn?  (i am new to this)
Other,Thomas,"build, trade, ""done"""
Offer,Thomas,anyone want wood?
Offer,william,sorry clay
Refusal,Cat,no
Other,william,so if I build a road  do i get the resources next to it?
Other,william,"no, you need a settlement"
Other,william,roads lead to settlements
Other,Cat,all settlements must have a min distance of 2
Other,Cat,okay
Other,Cat,so I'd like to build a road...
Other,william,where do i press?
Other,william,to build?
Other,Thomas,"at the bottom next to ""road"" etc."
Other,Cat,"if you have 1 wood, 1 clay,  it is at the bottom of the screen"
Other,Cat,"okay, I see..."
Offer,Thomas,anyone wants an ore?
Refusal,william,nope
Refusal,Cat,no
Offer,william,for a wood
Other,Cat,"you need 10 victory points to win.  a settlement gives you 1 VP,  a city gives you 2 VP"
Other,william,"okay, thanks"
Offer,Thomas,does someone have clay?
Refusal,Cat,none
Accept,william,yes
Offer,Cat,what do you want for it?
Other,Cat,"hmm, not sure..."
Other,william,"I'd like wood,  but I need clay too"
Accept,Cat,i can give you wood!
Offer,william,I can echange ore for wood though
Other,Cat,give or want ore?
Offer,william,"give ore, receive wood"
Accept,Cat,i'm in i'm in
Other,william,great
Other,Cat,"oh, sorry.  i thought you were talking about yourself when you said give ore"
Offer,william,I mean I can offer ore
Other,Cat,? i  am confused
Offer,william,if you can give me wood
"Accept, Other",william,ok.  i just got the speech bubble message wrong... i just got the speech bubble message wrong...
Other,Cat,done
Other,Thomas,thanks
Offer,william,can I buy a sheep?
Refusal,Cat,none
Refusal,Thomas,no sorry
Other,william,ok ok
Other,Thomas,i've got too much wheat!
Offer,Thomas,sheep again anyone?
Offer,william,or clay
Refusal,william,no
Refusal,Cat,n n
Refusal,Cat,no no
Other,Cat,is the robber robbing me?
Other,Thomas,can I move him?
Other,william,if you roll a 7
Other,william,the robber prevents you from getting that stuff while he's there
Offer,Cat,can someone give me an ore??
Other,william,what for?
Offer,Thomas,wheat or wood
Accept,william,sure
Other,Cat,which? which?
Offer,Thomas,how about sheep or clar?
Offer,william,wheat please
Other,Thomas,k
Other,Thomas,sorry  retry
Other,william,couldn't see it
Other,william,if you move another window on top of the speech bubble  you will see it
Other,Thomas,"like ""whiping"" over it"
Other,Cat,thanks
Other,Cat,so to move the robber  i need to roll the dice?
Offer,Cat,i can offer ore for sheep or clay
Offer,william,or wheet for the same
Other,Thomas,"thomas, can you continue from where you left the game?"
Other,Thomas,yes
Other,Thomas,sorry about that
Other,Cat,but it's working now
Other,Cat,np
Offer,william,anyone for ore or what?
Refusal,Thomas,no
Offer,Thomas,i have ore
Offer,Thomas,I need sheep
Offer,Cat,or clay
Offer,Cat,I mean I have those to offer
Offer,Cat,I need sheep
Offer,Thomas,or clary
"Refusal, Other",Cat,no  thanks
Offer,Cat,clay
Offer,william,then anyone wants a wood for an ore? then anyone wants a wood for an ore?
Refusal,Cat,no
Other,william,okay
"Offer, Other",Thomas,can i get a sheep or a wheat?  i have too much wood
Refusal,Cat,n
Offer,william,I can give you a wheat
Other,Cat,good
Other,Cat,thx
Offer,william,anyone would like to give me an ore?
Refusal,Thomas,cant
Other,Cat,what for?
Offer,Thomas,wood?
"Refusal, Other",william,no  no  thanks
Other,Cat,well?
Offer,Thomas,anyone can give me ore?  (for wood)
Refusal,Cat,no
Other,william,where do i see what i rolled?
Other,Cat,on the arrow
Other,Cat,"ok,  so if it had been 7  i could move the robber"
Other,william,and can i do other things depending on the numbers?
Other,Cat,yup
Other,Cat,"ooops,  I didn't know"
Other,william,"sorry,  which things?"
Other,Thomas,no every other number just produces ressources
Other,Cat,robber is the only exception
